run,modality,augmentation_percent,best_val_accuracy,best_val_f1,test_accuracy,test_precision,test_recall,test_f1,test_latency_ms,training_time_s
1,hands,0,0.34615384615384615,0.2716017316017316,0.21739130434782608,0.16999999999999998,0.2333333333333333,0.1869047619047619,7.949739127703335,5.560750399949029
2,hands,50,0.46153846153846156,0.33439393939393935,0.2608695652173913,0.2976190476190476,0.2833333333333333,0.27222222222222225,1.4693130455587222,7.704570599948056
3,hands,100,0.3076923076923077,0.29,0.2608695652173913,0.24833333333333335,0.26666666666666666,0.23238095238095235,0.7840869593960436,10.16110510006547
4,hand_face,0,0.19230769230769232,0.089010989010989,0.0,0.0,0.0,0.0,9.628634783439338,9.670371400075965
5,hand_face,50,0.2692307692307692,0.1307936507936508,0.08695652173913043,0.04583333333333333,0.06666666666666667,0.051515151515151514,2.0956217372061117,17.491625700029545
6,hand_face,100,0.2692307692307692,0.16857142857142854,0.08695652173913043,0.024285714285714285,0.1,0.03888888888888888,1.8473391309785454,27.6510050999932
7,hand_face_pose,0,0.19230769230769232,0.12307692307692308,0.043478260869565216,0.008333333333333333,0.05,0.014285714285714285,9.963991302672936,9.832621100009419
8,hand_face_pose,50,0.2692307692307692,0.15871794871794873,0.08695652173913043,0.02857142857142857,0.06666666666666667,0.04,2.171443476665603,18.280178699991666
9,hand_face_pose,100,0.3076923076923077,0.20666666666666664,0.17391304347826086,0.10277777777777777,0.16666666666666666,0.11818181818181817,2.0893217398501607,27.913893099990673
